{ 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22}
{
( {  4   5   6  10  12  22 } , 1 )
( {  4   5   6  10  13  16 } , 1 )
( {  4   5   6  10  13  22 } , 1 )
( {  4   5   6  10  16  18  19 } , 1 )
( {  4   5   6  10  16  21 } , 1 )
( {  4   5   6  10  18  22 } , 1 )
( {  4   5   6  13  16  20 } , 1 )
( {  4   5   6  16  19  20 } , 1 )
( {  4   5   9  12  16  19 } , 1 )
( {  4   5   9  12  22 } , 1 )
( {  4   5   9  13  16 } , 1 )
( {  4   5   9  13  22 } , 1 )
( {  4   5   9  16  18  19 } , 1 )
( {  4   5   9  16  21 } , 1 )
( {  4   5   9  18  22 } , 1 )
( {  4   5  11  13  16 } , 1 )
( {  4   5  11  13  22 } , 1 )
( {  4   5  11  16  19 } , 1 )
( {  4   5  11  16  21 } , 1 )
( {  4   6  10  12  17  19 } , 1 )
( {  4   6  10  13  17 } , 1 )
( {  4   6  10  17  18  19 } , 1 )
( {  4   6  10  17  21 } , 1 )
( {  4   6  13  17  20 } , 1 )
( {  4   6  17  19  20 } , 1 )
( {  4   9  12  17  19 } , 1 )
( {  4   9  13  17 } , 1 )
( {  4   9  17  18  19 } , 1 )
( {  4   9  17  21 } , 1 )
( {  4  11  13  17 } , 1 )
( {  4  11  17  19 } , 1 )
( {  4  11  17  21 } , 1 )
( {  5   6   7  10  16  18  19 } , 1 )
( {  5   6   7  10  16  21 } , 1 )
( {  5   6   7  10  18  22 } , 1 )
( {  5   6   7  16  19  20 } , 1 )
( {  5   7   9  16  18  19 } , 1 )
( {  5   7   9  16  21 } , 1 )
( {  5   7   9  18  22 } , 1 )
( {  5   7  11  16  19 } , 1 )
( {  5   7  11  16  21 } , 1 )
( {  5   7  11  22 } , 1 )
( {  6   7   8  10  16  18  19 } , 1 )
( {  6   7   8  10  16  21 } , 1 )
( {  6   7   8  10  18  22 } , 1 )
( {  6   7   8  16  19  20 } , 1 )
( {  6   7  10  15  18 } , 1 )
( {  6   7  10  15  21 } , 1 )
( {  6   7  10  17  18  19 } , 1 )
( {  6   7  10  17  21 } , 1 )
( {  6   7  15  20 } , 1 )
( {  6   7  17  19  20 } , 1 )
( {  7   8   9  16  18  19 } , 1 )
( {  7   8   9  16  21 } , 1 )
( {  7   8   9  18  22 } , 1 )
( {  7   8  11  16  19 } , 1 )
( {  7   8  11  16  21 } , 1 )
( {  7   8  11  22 } , 1 )
( {  7   9  15  18 } , 1 )
( {  7   9  15  21 } , 1 )
( {  7   9  17  18  19 } , 1 )
( {  7   9  17  21 } , 1 )
( {  7  11  15  21 } , 1 )
( {  7  11  17  19 } , 1 )
( {  7  11  17  21 } , 1 )
}
